#id_descritor_grupo_valor:Integer;id_descritor_grupo_material;id_material;valor;id_bem;valor_ascii
225532;7;;008132/11-06;11877;008132/11-06
225533;7;;008132/11-06;11879;008132/11-06
225534;7;;008132/11-06;11882;008132/11-06
225535;7;;008132/11-06;11883;008132/11-06
225536;7;;008132/11-06;11716;008132/11-06
225537;7;;008132/11-06;11887;008132/11-06
225538;7;;008132/11-06;11889;008132/11-06
225539;7;;008132/11-06;11893;008132/11-06
225540;7;;008132/11-06;11896;008132/11-06
225541;7;;008132/11-06;11898;008132/11-06
225542;7;;008132/11-06;11900;008132/11-06
225543;7;;008132/11-06;11679;008132/11-06
225544;7;;008132/11-06;11901;008132/11-06
225545;7;;008132/11-06;11905;008132/11-06
225546;7;;008132/11-06;11906;008132/11-06
225547;7;;008132/11-06;11907;008132/11-06
225548;7;;008132/11-06;11908;008132/11-06
225549;7;;008132/11-06;11910;008132/11-06
225550;7;;008132/11-06;11912;008132/11-06
225551;7;;008132/11-06;11915;008132/11-06
225552;7;;008132/11-06;11917;008132/11-06
225553;7;;008132/11-06;11920;008132/11-06
225554;7;;008132/11-06;11922;008132/11-06
225555;7;;008132/11-06;11923;008132/11-06
225556;7;;008132/11-06;11924;008132/11-06
225557;7;;008132/11-06;11926;008132/11-06
225558;7;;008132/11-06;11928;008132/11-06
225559;7;;008132/11-06;11929;008132/11-06
225560;7;;008132/11-06;11931;008132/11-06
